"t","smoothMedian","smooth5","smooth95","date","pop","sens","spec","rpos","n_tested","p_infected","p_tested","p_infected_tested","p_tested_infected"
194,360.743967252162,303.122520844988,445.948819477561,"2021-07-14",17890100,0.7,0.999,0.0177142857142857,68900,2.01644466633592e-05,0.00384388545079162,0.0239117106069896,4.55821466565524
195,370.283825738759,315.028360817158,470.115905144365,"2021-07-15",17890100,0.7,0.999,0.0185714285714286,68600,2.06976945762606e-05,0.00382718071752752,0.0251379521765788,4.64822231741103
196,378.541086712029,322.937574349796,495.232476123052,"2021-07-16",17890100,0.7,0.999,0.0194285714285714,68300,2.1159249345282e-05,0.00381047570413851,0.026364193746168,4.74781113874314
197,387.5172091665,326.850161442903,520.805704746311,"2021-07-17",17890100,0.7,0.999,0.0202857142857143,68000,2.16609861971984e-05,0.0037937704106199,0.0275904353157572,4.83227200110491
198,404.246928467276,326.777347120713,546.835591014139,"2021-07-18",17890100,0.7,0.999,0.0211428571428571,67700,2.25961245866304e-05,0.00377706483696705,0.0288166768853464,4.81686390799432
199,413.894921517366,331.50686026569,573.322134926538,"2021-07-19",17890100,0.7,0.999,0.022,67400,2.31354168795795e-05,0.00376035898317517,0.0300429184549356,4.88308288892478
200,441.844011642628,341.038700877833,602.373552593853,"2021-07-20",17890100,0.7,0.999,0.024,66943,2.46976826089641e-05,0.0037349098608116,0.0329041487839771,4.97593364125116
201,488.458384655292,355.372868957143,634.105144921238,"2021-07-21",17890100,0.7,0.999,0.026,66486,2.73032786096943e-05,0.00370946008834561,0.0357653791130186,4.85913242364916
202,530.334329956814,374.509364503619,666.81066930719,"2021-07-22",17890100,0.7,0.999,0.028,66029,2.96440114899757e-05,0.00368400966576066,0.0386266094420601,4.80032206802481
203,571.542324237627,398.448187517262,705.861067202453,"2021-07-23",17890100,0.7,0.999,0.03,65571,3.19474080210634e-05,0.00365850290070191,0.0414878397711016,4.75103902158065
204,612.082367497731,427.189337998072,751.878378556005,"2021-07-24",17890100,0.7,0.999,0.032,65114,3.42134682029576e-05,0.00363305117640622,0.0443490701001431,4.7093279273546
205,651.954459737126,460.732815946048,804.862603367844,"2021-07-25",17890100,0.7,0.999,0.034,64657,3.6442192035658e-05,0.00360759880194172,0.0472103004291846,4.67358887470282
206,720.008759294501,494.512430629232,864.813741637971,"2021-07-26",17890100,0.7,0.999,0.036,64200,4.02462121114192e-05,0.00358214577729166,0.050071530758226,4.45665599464495
207,780.446562068295,528.528182047625,929.623577256041,"2021-07-27",17890100,0.7,0.999,0.038,64543,4.3624494109496e-05,0.0036012495306198,0.0529327610872675,4.36965711376439
208,854.331527254998,562.780070201226,999.176809316899,"2021-07-28",17890100,0.7,0.999,0.04,64886,4.77544299503635e-05,0.00362035291768259,0.055793991416309,4.22984715393203
209,915.811624201804,597.268095090035,1062.50705808973,"2021-07-29",17890100,0.7,0.999,0.042,65229,5.11909728957247e-05,0.00363945593848691,0.0586552217453505,4.17013162729344
210,960.816376218279,631.992256714052,1115.2825904487,"2021-07-30",17890100,0.7,0.999,0.044,65571,5.37065961743243e-05,0.00365850290070191,0.061516452074392,4.19051167615511
211,989.345783304423,666.952555073277,1157.5034063938,"2021-07-31",17890100,0.7,0.999,0.046,65914,5.53012997861623e-05,0.00367760519007831,0.0643776824034335,4.28119591849669
212,1001.39984546024,702.148990167711,1189.16950592503,"2021-08-01",17890100,0.7,0.999,0.048,66257,5.59750837312391e-05,0.00369670711321735,0.067238912732475,4.44059303558345
213,1004.71164519594,734.277058516915,1210.2808890424,"2021-08-02",17890100,0.7,0.999,0.05,66600,5.61602028605732e-05,0.00371580867012611,0.0701001430615165,4.63813708101704
214,1006.60934731135,763.336760120887,1220.8375557459,"2021-08-03",17890100,0.7,0.999,0.053,67729,5.62662784060095e-05,0.00377867972131785,0.0743919885550787,4.99594973303872
215,991.857682937246,786.823597215991,1220.83950603553,"2021-08-04",17890100,0.7,0.999,0.056,68857,5.54417070299912e-05,0.00384149112288845,0.0786838340486409,5.45191095665891
216,1006.61324789061,807.088504067262,1220.84145632515,"2021-08-05",17890100,0.7,0.999,0.059,69986,5.62664964360518e-05,0.00390435424282121,0.0829756795422031,5.7577149279193
217,1012.87537303082,822.278519097786,1234.31462069669,"2021-08-06",17890100,0.7,0.999,0.062,71114,5.66165294230228e-05,0.00396715772065759,0.0872675250357654,6.11489328711014
218,1010.64405835787,828.266468451924,1261.08973277809,"2021-08-07",17890100,0.7,0.999,0.065,72243,5.64918059909039e-05,0.00403001291033189,0.0915593705293276,6.53166311153983
219,1007.42994203563,825.052352129678,1301.25142575538,"2021-08-08",17890100,0.7,0.999,0.068,73371,5.63121470553899e-05,0.00409280846543381,0.0958512160228899,6.96653721930959
220,1024.7186961348,837.324638650158,1354.79969962855,"2021-08-09",17890100,0.7,0.999,0.071,74500,5.7278533721712e-05,0.00415565572585019,0.100143061516452,7.26555063397621
221,1048.02487454956,865.083328013365,1421.73455439761,"2021-08-10",17890100,0.7,0.999,0.0745714285714286,79214,5.85812753729471e-05,0.00441802384808576,0.10525240138974,7.93782000217274
222,1084.59120033283,910.832917982936,1502.05599006255,"2021-08-11",17890100,0.7,0.999,0.0781428571428571,83929,6.06252173175572e-05,0.00468037848125469,0.110361741263029,8.52012977134001
223,1133.87365657259,972.222474293837,1616.35357578018,"2021-08-12",17890100,0.7,0.999,0.0817142857142857,88643,6.33799507309959e-05,0.00494260835846749,0.115471081136317,9.00487179625599
224,1222.26900216908,1051.10495852298,1761.3114875896,"2021-08-13",17890100,0.7,0.999,0.0852857142857143,93357,6.83209709375062e-05,0.00520476914781443,0.120580421009606,9.18595339746173
225,1349.77723712229,1151.60754452601,1937.09899186287,"2021-08-14",17890100,0.7,0.999,0.0888571428571429,98071,7.54482779370876e-05,0.0054668608674977,0.125689760882894,9.107277912808
226,1508.88772326839,1273.73023230291,2143.63145541395,"2021-08-15",17890100,0.7,0.999,0.0924285714285714,102786,8.43420508140474e-05,0.00572893911232475,0.130799100756182,8.8845371549134
227,1726.20947647672,1383.64559638387,2380.90887824284,"2021-08-16",17890100,0.7,0.999,0.096,107500,9.64896493857899e-05,0.00599089273262521,0.135908440629471,8.43834436597539
228,2067.3677642652,1480.07719137765,2648.93126034956,"2021-08-17",17890100,0.7,0.999,0.0945714285714286,112600,0.00011555931852059,0.00627421837510533,0.133864704680155,7.26809746401051
229,2318.59033418776,1563.02501728425,2908.69238812773,"2021-08-18",17890100,0.7,0.999,0.0931428571428571,117700,0.000129601865511526,0.00655746326035789,0.13182096873084,6.66974318606849
230,2480.42120315643,1632.48907410367,3139.60269242056,"2021-08-19",17890100,0.7,0.999,0.0917142857142857,122800,0.000138647699183148,0.00684062741140146,0.129777232781525,6.40297459800206
231,2675.01555614458,1720.09185336579,3287.59696305932,"2021-08-20",17890100,0.7,0.999,0.0902857142857143,127900,0.00014952490797394,0.00712371085124786,0.127733496832209,6.08551785639643
232,2815.75894552782,1810.70229087936,3354.28168076338,"2021-08-21",17890100,0.7,0.999,0.0888571428571429,133000,0.000157392018240693,0.00740671360290246,0.125689760882894,5.91483654687768
233,2906.70490707326,1851.76738555539,3386.33759795509,"2021-08-22",17890100,0.7,0.999,0.0874285714285714,138100,0.000162475609810636,0.00768963568936409,0.123646024933579,5.85191147942383
234,2897.21244252645,1885.22300378645,3364.99204972136,"2021-08-23",17890100,0.7,0.999,0.086,143200,0.000161945011069052,0.00797247713362503,0.121602288984263,5.98642379857028
235,2747.39837082739,1912.34559096375,3293.3246309237,"2021-08-24",17890100,0.7,0.999,0.0852857142857143,144229,0.000153570878353245,0.00802953477967649,0.120580421009606,6.30461122985563
236,2648.12239829457,1933.1351470873,3218.0216524219,"2021-08-25",17890100,0.7,0.999,0.0845714285714286,145257,0.000148021665518615,0.00808653369916434,0.119558553034948,6.5315726907481
237,2605.77496731985,1947.5916721571,3150.38509406152,"2021-08-26",17890100,0.7,0.999,0.0838571428571429,146286,0.000145654578080606,0.00814358478511645,0.11853668506029,6.62741643727059
238,2513.25518249798,1912.77606298644,3143.46220194456,"2021-08-27",17890100,0.7,0.999,0.0831428571428571,147314,0.000140483014767831,0.00820057715125677,0.117514817085632,6.85982804055845
239,2457.09678959715,1835.78847831339,3195.64649535162,"2021-08-28",17890100,0.7,0.999,0.0824285714285714,148343,0.000137343938245015,0.00825762167786381,0.116492949110975,7.00398367914125
240,2423.10180566483,1768.60284268878,3260.25722186037,"2021-08-29",17890100,0.7,0.999,0.0817142857142857,149371,0.0001354437261762,0.00831460749141022,0.115471081136317,7.08852852296948
241,2401.75082011189,1719.91782902831,3283.71123909455,"2021-08-30",17890100,0.7,0.999,0.081,150400,0.00013425027362127,0.00837164545942615,0.11444921316166,7.13688106441146
242,2395.93921562911,1664.43807612449,3275.88856171044,"2021-08-31",17890100,0.7,0.999,0.0795714285714286,150286,0.000133925423313962,0.00836532654584765,0.112405477212344,7.02113533902168
243,2414.26080376972,1602.16358397732,3286.7907251879,"2021-09-01",17890100,0.7,0.999,0.0781428571428571,150171,0.000134949542136138,0.00835895216240556,0.110361741263029,6.83595143173443
244,2385.08738416288,1533.09435258679,3300.44847010555,"2021-09-02",17890100,0.7,0.999,0.0767142857142857,150057,0.000133318840261535,0.00835263316794199,0.108318005313713,6.78629188563139
