"t","smoothMedian","smooth5","smooth95","date","pop","sens","spec","rpos","n_tested","p_infected","p_tested","p_infected_tested","p_tested_infected"
191,106.056013650859,59.3765157881265,173.617526757036,"2021-07-11",3571000,0.7,0.999,0.00485714285714286,27929,2.96992477319684e-05,0.00779055471540691,0.00551808706315144,1.44747636633189
192,116.00377129673,64.4009762603866,183.584360204235,"2021-07-12",3571000,0.7,0.999,0.005,29600,3.24849541575833e-05,0.00825473683835609,0.00572246065808297,1.45413185966568
193,128.027408751313,73.6962450259687,194.830856800303,"2021-07-13",3571000,0.7,0.999,0.00514285714285714,29343,3.58519766875701e-05,0.00818335970583894,0.00592683425301451,1.35282405854404
194,142.922857675824,87.2623220848729,207.406990653342,"2021-07-14",3571000,0.7,0.999,0.00528571428571429,29086,4.00232029335827e-05,0.00811197743622138,0.00613120784794605,1.24268464475113
195,160.163233900676,105.099207437099,221.312761763352,"2021-07-15",3571000,0.7,0.999,0.00542857142857143,28829,4.4851087622704e-05,0.0080405900291336,0.00633558144287758,1.13579883294911
196,183.131376770742,127.206901082647,234.613467715251,"2021-07-16",3571000,0.7,0.999,0.00557142857142857,28571,5.12829394485416e-05,0.00796891968216706,0.00653995503780911,1.01625173950061
197,212.042233495706,152.139019980304,247.500416673132,"2021-07-17",3571000,0.7,0.999,0.00571428571428571,28314,5.93789508529e-05,0.00789752197903593,0.00674432863274064,0.897009510034298
198,224.839253269563,175.640996086883,259.973608636996,"2021-07-18",3571000,0.7,0.999,0.00585714285714286,28057,6.29625464210482e-05,0.00782611913732378,0.00694870222767219,0.863709849342596
199,237.996598644836,196.064627403742,274.246901128764,"2021-07-19",3571000,0.7,0.999,0.006,27800,6.6647045265986e-05,0.00775471115666082,0.00715307582260372,0.832295515346658
200,250.729209941898,213.556992862684,290.445499913839,"2021-07-20",3571000,0.7,0.999,0.00685714285714286,26100,7.0212604296247e-05,0.00728223319475085,0.00837931739219293,0.869076768685564
201,262.473242522918,227.823934600101,307.805207092721,"2021-07-21",3571000,0.7,0.999,0.00771428571428571,24400,7.35013280657849e-05,0.00680953025276076,0.00960555896178213,0.889906972652116
202,273.291406510714,239.012531547798,326.32602266541,"2021-07-22",3571000,0.7,0.999,0.00857142857142857,22700,7.65307775163019e-05,0.00633660222356169,0.0108318005313713,0.89685239794727
203,287.023014094943,247.122783705774,348.631935718329,"2021-07-23",3571000,0.7,0.999,0.00942857142857143,21000,8.03760890772733e-05,0.00586344899997393,0.0120580421009606,0.879636166802646
204,302.686095116302,253.601074115243,374.722946251479,"2021-07-24",3571000,0.7,0.999,0.0102857142857143,19300,8.47622781059373e-05,0.00539007047476636,0.0132842836705498,0.844753430312013
205,320.771634654443,258.431162526068,404.59905426486,"2021-07-25",3571000,0.7,0.999,0.0111428571428571,17600,8.98268369236749e-05,0.00491646654065714,0.0145105252401389,0.794200422431898
206,339.97991198159,260.09418946422,428.014011907283,"2021-07-26",3571000,0.7,0.999,0.012,15900,9.52058000508513e-05,0.00444263709031301,0.0157367668097282,0.73433282292847
207,363.744853151547,258.443075997894,443.502936526672,"2021-07-27",3571000,0.7,0.999,0.0128571428571429,16029,0.000101860782176294,0.00447860029338765,0.0169630083793175,0.745827124838519
208,367.020992090525,253.771979990698,453.76016251535,"2021-07-28",3571000,0.7,0.999,0.0137142857142857,16157,0.000102778211170687,0.00451428342788585,0.0181892499489066,0.798918648950379
209,375.228567199988,253.380617131063,462.978952710424,"2021-07-29",3571000,0.7,0.999,0.0145714285714286,16286,0.000105076608008958,0.00455024404283055,0.0194154915184959,0.840769666005316
210,382.856773070733,257.26898741899,474.733181267704,"2021-07-30",3571000,0.7,0.999,0.0154285714285714,16414,0.000107212761991244,0.00458592460935414,0.020641733088085,0.882930632419481
211,386.75062576041,265.437090854478,489.022848187193,"2021-07-31",3571000,0.7,0.999,0.0162857142857143,16543,0.000108303171593506,0.00462188263635532,0.0218679746576742,0.933224861982003
212,387.500349608065,277.884927437527,505.847953468888,"2021-08-01",3571000,0.7,0.999,0.0171428571428571,16671,0.000108513119464594,0.00465756063508926,0.0230942162272634,0.9912415469121
213,424.569877781707,294.315694740554,533.134530135825,"2021-08-02",3571000,0.7,0.999,0.018,16800,0.000118893833038843,0.00469351607433299,0.0243204577968526,0.960087303833267
214,435.737053226608,314.729392763559,559.273027985006,"2021-08-03",3571000,0.7,0.999,0.0187142857142857,16886,0.000122021017425541,0.00471748564557972,0.0253423257715103,0.979766113863597
215,454.057725581897,339.126021506541,581.569112624109,"2021-08-04",3571000,0.7,0.999,0.0194285714285714,16971,0.000127151421333491,0.0047411759336613,0.026364193746168,0.983058463592585
216,476.917445577444,363.936958614689,595.829521216029,"2021-08-05",3571000,0.7,0.999,0.0201428571428571,17057,0.000133552911111018,0.0047651443571346,0.0273860617208256,0.977129861023047
217,494.624083329291,389.162204088002,603.328641019114,"2021-08-06",3571000,0.7,0.999,0.0208571428571429,17143,0.000138511364695965,0.00478911220338585,0.0284079296954834,0.98222093960446
218,514.939795120426,413.823068693612,604.801000476151,"2021-08-07",3571000,0.7,0.999,0.0215714285714286,17229,0.000144200446687322,0.00481307947242893,0.0294297976701411,0.982299003213465
219,535.254874122701,422.804042627564,608.275923349205,"2021-08-08",3571000,0.7,0.999,0.0222857142857143,17314,0.000149889351476533,0.00483676748513118,0.0304516656447987,0.982642361234765
220,540.732360411771,418.59030055725,613.753409638275,"2021-08-09",3571000,0.7,0.999,0.023,17400,0.0001514232317031,0.00486073360651096,0.0314735336194564,1.01031037879118
221,535.346254649118,401.181842482668,622.19729014911,"2021-08-10",3571000,0.7,0.999,0.0228571428571429,17371,0.000149914941094684,0.00485265207193986,0.0312691600245249,1.01216298437521
222,540.506594672167,391.034128125798,633.60756488171,"2021-08-11",3571000,0.7,0.999,0.0227142857142857,17343,0.000151360009709372,0.00484484914870009,0.0310647864295933,0.99434589345594
223,534.286890011686,384.268985221219,647.984233836074,"2021-08-12",3571000,0.7,0.999,0.0225714285714286,17314,0.00014961828339728,0.00483676748513118,0.0308604128346618,0.997636371619612
224,539.189641173801,380.886413768929,660.479035598041,"2021-08-13",3571000,0.7,0.999,0.0224285714285714,17286,0.000150991218474881,0.00482896443734071,0.0306560392397302,0.980433993272302
225,535.624205527755,381.865103001797,670.357441724825,"2021-08-14",3571000,0.7,0.999,0.0222857142857143,17257,0.000149992776680973,0.00482088264477187,0.0304516656447987,0.978739841076816
226,550.224094521717,391.282982362513,672.755733656795,"2021-08-15",3571000,0.7,0.999,0.0221428571428571,17229,0.000154081236214426,0.00481307947242893,0.0302472920498671,0.944843279029632
227,545.932777570198,410.118741083945,673.901795973695,"2021-08-16",3571000,0.7,0.999,0.022,17200,0.000152879523262447,0.00480499755085817,0.0300429184549356,0.944247774430735
228,581.419061679843,438.372379166092,684.441348072771,"2021-08-17",3571000,0.7,0.999,0.0228571428571429,17143,0.000162816875295391,0.00478911220338585,0.0312691600245249,0.91975426743321
229,596.762193093095,455.57268928306,693.836957582129,"2021-08-18",3571000,0.7,0.999,0.0237142857142857,17086,0.000167113467682188,0.0047732266023508,0.032495401594114,0.928159277013373
230,595.504206262329,460.922757216363,709.426774521831,"2021-08-19",3571000,0.7,0.999,0.0245714285714286,17029,0.000166761189096144,0.00475734074774914,0.0337216431637033,0.962006495475701
231,598.159948925173,455.64944950156,731.767303863386,"2021-08-20",3571000,0.7,0.999,0.0254285714285714,16971,0.000167504886285403,0.0047411759336613,0.0349478847332924,0.989189472046432
232,614.91195681437,439.75276613865,760.858545606795,"2021-08-21",3571000,0.7,0.999,0.0262857142857143,16914,0.000172196011429395,0.00472528956746543,0.0361741263028817,0.992666556050114
233,600.750781955986,431.476165758433,782.709262406766,"2021-08-22",3571000,0.7,0.999,0.0271428571428571,16857,0.000168230406596468,0.00470940294769062,0.0374003678724708,1.04697721575278
234,610.56047789113,430.534730976696,791.091569683559,"2021-08-23",3571000,0.7,0.999,0.028,16800,0.000170977451103649,0.00469351607433299,0.0386266094420601,1.06034223310177
